GEO.id,Id
GEO.id2,Id2
GEO.display-label,Geography
HC01_EST_VC01,Owner-occupied housing units with a mortgage; Estimate; Owner-occupied housing units with a mortgage
HC01_MOE_VC01,Owner-occupied housing units with a mortgage; Margin of Error; Owner-occupied housing units with a mortgage
HC01_EST_VC03,"Owner-occupied housing units with a mortgage; Estimate; VALUE - Less than $50,000"
HC01_MOE_VC03,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - Less than $50,000"
HC01_EST_VC04,"Owner-occupied housing units with a mortgage; Estimate; VALUE - $50,000 to $99,999"
HC01_MOE_VC04,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - $50,000 to $99,999"
HC01_EST_VC05,"Owner-occupied housing units with a mortgage; Estimate; VALUE - $100,000 to $149,999"
HC01_MOE_VC05,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - $100,000 to $149,999"
HC01_EST_VC06,"Owner-occupied housing units with a mortgage; Estimate; VALUE - $150,000 to $199,999"
HC01_MOE_VC06,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - $150,000 to $199,999"
HC01_EST_VC07,"Owner-occupied housing units with a mortgage; Estimate; VALUE - $200,000 to $299,999"
HC01_MOE_VC07,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - $200,000 to $299,999"
HC01_EST_VC08,"Owner-occupied housing units with a mortgage; Estimate; VALUE - $300,000 to $499,999"
HC01_MOE_VC08,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - $300,000 to $499,999"
HC01_EST_VC09,"Owner-occupied housing units with a mortgage; Estimate; VALUE - $500,000 or more"
HC01_MOE_VC09,"Owner-occupied housing units with a mortgage; Margin of Error; VALUE - $500,000 or more"
HC01_EST_VC10,Owner-occupied housing units with a mortgage; Estimate; VALUE - Median (dollars)
HC01_MOE_VC10,Owner-occupied housing units with a mortgage; Margin of Error; VALUE - Median (dollars)
HC01_EST_VC13,"Owner-occupied housing units with a mortgage; Estimate; MORTGAGE STATUS - With either a second mortgage, or home equity loan, but not both"
HC01_MOE_VC13,"Owner-occupied housing units with a mortgage; Margin of Error; MORTGAGE STATUS - With either a second mortgage, or home equity loan, but not both"
