"","Beach.ID","CalendarDate","County","Action","Reason","PossibleSource","MeasureType","WQ.Value","WQ.MeasureUnit","ecoliValue","ecoliUnit","EnterocValue","EnterocUnit","Reason.Elev_bact","closure","contamAd","Reason.Model","Reason.Other","Reason.Rainfall","Reason.Sewage","Source.CSO","Source.Other","Source.Runoff","Source.Spetic","Source.SSO","Source.Storm","Source.Unknown","Source.Wildlife","daysSinceJune1"
"1","NY041953",2016-06-20,"WAYNE",NA,NA,NA,"Escherichia coli",2,"#/100ml",2,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"2","NY041953",2016-07-05,"WAYNE",NA,NA,NA,"Escherichia coli",200,"#/100ml",200,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,34
"3","NY059316",2016-07-12,"OSWEGO",NA,NA,NA,"Escherichia coli",10,"#/100ml",10,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,41
"4","NY059316",2016-07-18,"OSWEGO",NA,NA,NA,"Escherichia coli",NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,47
"5","NY059316",2016-07-25,"OSWEGO",NA,NA,NA,"Escherichia coli",NA,"-",NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"6","NY069186",2016-06-20,"WESTCHESTER",NA,NA,NA,"Enterococcus",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,19
"7","NY069186",2016-07-25,"WESTCHESTER",NA,NA,NA,"Enterococcus",14,"#/100ml",NA,NA,14,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,54
"8","NY072318",2016-06-15,"WESTCHESTER",NA,NA,NA,"Enterococcus",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,14
"9","NY072318",2016-06-29,"WESTCHESTER",NA,NA,NA,"Enterococcus",2,"#/100ml",NA,NA,2,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,28
"10","NY072318",2016-07-13,"WESTCHESTER",NA,NA,NA,"Enterococcus",NA,"-",NA,NA,NA,"-",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,42
"11","NY072318",2016-07-20,"WESTCHESTER",NA,NA,NA,"Enterococcus",2,"#/100ml",NA,NA,2,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,49
"12","NY072318",2016-07-26,"WESTCHESTER",NA,NA,NA,"Enterococcus",8,"#/100ml",NA,NA,8,"#/100ml",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,55
"13","NY077883",2016-06-01,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"14","NY077883",2016-06-02,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"15","NY077883",2016-06-03,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2
"16","NY077883",2016-06-04,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3
"17","NY077883",2016-06-05,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4
"18","NY077883",2016-06-06,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"19","NY077883",2016-06-07,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6
"20","NY077883",2016-06-08,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7
"21","NY077883",2016-06-09,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,8
"22","NY077883",2016-06-10,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9
"23","NY077883",2016-06-11,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10
"24","NY077883",2016-06-12,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"25","NY077883",2016-06-13,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12
"26","NY077883",2016-06-14,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,13
"27","NY077883",2016-06-15,"WESTCHESTER",0,0,0,"Enterococcus",4,"#/100ml",NA,NA,4,"#/100ml",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,14
"28","NY077883",2016-06-16,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,15
"29","NY077883",2016-06-17,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,16
"30","NY077883",2016-06-18,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,17
"31","NY077883",2016-06-19,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18
"32","NY077883",2016-06-20,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,19
"33","NY077883",2016-06-21,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20
"34","NY077883",2016-06-22,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,21
"35","NY077883",2016-06-23,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,22
"36","NY077883",2016-06-24,"WESTCHESTER",0,0,0,NA,NA,NA,NA,NA,NA,NA,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,23
